"plot","site","region","plotID","date","filename","canopy_hp"
1,"control","Aire","C.AI.GE.1","27.08.2025","C.AI.GE.1.JPG",95.3
2,"control","Aire","C.AI.GE.2","27.08.2025","C.AI.GE.2.JPG",0
3,"control","Aire","C.AI.GE.3","27.08.2025","C.AI.GE.3.JPG",0
4,"control","Aire","C.AI.GE.4","27.08.2025","C.AI.GE.4.JPG",0
5,"control","Aire","C.AI.GE.5","27.08.2025","C.AI.GE.5.JPG",40.4
6,"control","Aire","C.AI.GE.6","27.08.2025","C.AI.GE.6.JPG",0
7,"control","Aire","C.AI.GE.7","27.08.2025","C.AI.GE.7.JPG",0
8,"control","Aire","C.AI.GE.8","27.08.2025","C.AI.GE.8.JPG",0
1,"focal","Aire","F.AI.GE.1","27.08.2025","F.AI.GE.1.JPG",2.7
2,"focal","Aire","F.AI.GE.2","27.08.2025","F.AI.GE.2.JPG",0
3,"focal","Aire","F.AI.GE.3","27.08.2025","F.AI.GE.3.JPG",0
4,"focal","Aire","F.AI.GE.4","27.08.2025","F.AI.GE.4.JPG",0
5,"focal","Aire","F.AI.GE.5","27.08.2025","F.AI.GE.5.JPG",0
6,"focal","Aire","F.AI.GE.6","27.08.2025","F.AI.GE.6.JPG",0
7,"focal","Aire","F.AI.GE.7","27.08.2025","F.AI.GE.7.JPG",0
8,"focal","Aire","F.AI.GE.8","27.08.2025","F.AI.GE.8.JPG",34.6
1,"control","Scheulte","C.SC.JU.1","01.09.2025","C.SC.JU.1.JPG",96
2,"control","Scheulte","C.SC.JU.2","01.09.2025","C.SC.JU.2.JPG",11.8
3,"control","Scheulte","C.SC.JU.3","01.09.2025","C.SC.JU.3.JPG",99.8
4,"control","Scheulte","C.SC.JU.4","01.09.2025","C.SC.JU.4.JPG",66.7
5,"control","Scheulte","C.SC.JU.5","01.09.2025","C.SC.JU.5.JPG",59.4
6,"control","Scheulte","C.SC.JU.6","01.09.2025","C.SC.JU.6.JPG",96.6
7,"control","Scheulte","C.SC.JU.7","01.09.2025","C.SC.JU.7.JPG",0.2
8,"control","Scheulte","C.SC.JU.8","01.09.2025","C.SC.JU.8.JPG",47.5
1,"focal","Scheulte","F.SC.JU.1","01.09.2025","F.SC.JU.1.JPG",0
2,"focal","Scheulte","F.SC.JU.2","01.09.2025","F.SC.JU.2.JPG",0
3,"focal","Scheulte","F.SC.JU.3","01.09.2025","F.SC.JU.3.JPG",38.8
4,"focal","Scheulte","F.SC.JU.4","01.09.2025","F.SC.JU.4.JPG",0
5,"focal","Scheulte","F.SC.JU.5","01.09.2025","F.SC.JU.5.JPG",0
6,"focal","Scheulte","F.SC.JU.6","01.09.2025","F.SC.JU.6.JPG",0
7,"focal","Scheulte","F.SC.JU.7","01.09.2025","F.SC.JU.7.JPG",90
8,"focal","Scheulte","F.SC.JU.8","01.09.2025","F.SC.JU.8.JPG",5.6
1,"control","Schwarzbach","C.SC.BE.1","06.08.2025","C.SC.BE.1.JPG",0
2,"control","Schwarzbach","C.SC.BE.2","06.08.2025","C.SC.BE.2.JPG",0
3,"control","Schwarzbach","C.SC.BE.3","06.08.2025","C.SC.BE.3.JPG",0
4,"control","Schwarzbach","C.SC.BE.4","06.08.2025","C.SC.BE.4.JPG",0
5,"control","Schwarzbach","C.SC.BE.5","06.08.2025","C.SC.BE.5.JPG",44.1
6,"control","Schwarzbach","C.SC.BE.6","06.08.2025","C.SC.BE.6.JPG",0
7,"control","Schwarzbach","C.SC.BE.7","06.08.2025","C.SC.BE.7.JPG",13.8
8,"control","Schwarzbach","C.SC.BE.8","06.08.2025","C.SC.BE.8.JPG",58
1,"focal","Schwarzbach","F.SC.BE.1","06.08.2025","F.SC.BE.1.JPG",0
2,"focal","Schwarzbach","F.SC.BE.2","06.08.2025","F.SC.BE.2.JPG",0
3,"focal","Schwarzbach","F.SC.BE.3","06.08.2025","F.SC.BE.3.JPG",72.6
4,"focal","Schwarzbach","F.SC.BE.4","06.08.2025","F.SC.BE.4.JPG",0
5,"focal","Schwarzbach","F.SC.BE.5","06.08.2025","F.SC.BE.5.JPG",0
6,"focal","Schwarzbach","F.SC.BE.6","06.08.2025","F.SC.BE.6.JPG",12.9
7,"focal","Schwarzbach","F.SC.BE.7","06.08.2025","F.SC.BE.7.JPG",0
8,"focal","Schwarzbach","F.SC.BE.8","06.08.2025","F.SC.BE.8.JPG",36
1,"control","Thiele","C.TH.VD.1","27.08.2025","C.TH.VD.1.JPG",0
2,"control","Thiele","C.TH.VD.2","27.08.2025","C.TH.VD.2.JPG",0
3,"control","Thiele","C.TH.VD.3","27.08.2025","C.TH.VD.3.JPG",0
4,"control","Thiele","C.TH.VD.4","27.08.2025","C.TH.VD.4.JPG",0
5,"control","Thiele","C.TH.VD.5","27.08.2025","C.TH.VD.5.JPG",0
6,"control","Thiele","C.TH.VD.6","27.08.2025","C.TH.VD.6.JPG",0
7,"control","Thiele","C.TH.VD.7","27.08.2025","C.TH.VD.7.JPG",0
8,"control","Thiele","C.TH.VD.8","27.08.2025","C.TH.VD.8.JPG",0
1,"focal","Thiele","F.TH.VD.1","27.08.2025","F.TH.VD.1.JPG",5.1
2,"focal","Thiele","F.TH.VD.2","27.08.2025","F.TH.VD.2.JPG",0.1
3,"focal","Thiele","F.TH.VD.3","27.08.2025","F.TH.VD.3.JPG",0
4,"focal","Thiele","F.TH.VD.4","27.08.2025","F.TH.VD.4.JPG",0
5,"focal","Thiele","F.TH.VD.5","27.08.2025","F.TH.VD.5.JPG",0
6,"focal","Thiele","F.TH.VD.6","27.08.2025","F.TH.VD.6.JPG",0
7,"focal","Thiele","F.TH.VD.7","27.08.2025","F.TH.VD.7.JPG",0
8,"focal","Thiele","F.TH.VD.8","27.08.2025","F.TH.VD.8.JPG",0
