"plot","site","region","Xcoord","Ycoord","Zcoord","canton","date","visit","surveyID","observer","municipality","bareground","vegcover","vegheight","herb","woody","sand","gravel","cobble","stone","wood","soil","flat","sloped","steep","canopy","standingdeadwood","lyingdeadwood","branchpile","stonepile","patchiness","comment","achillea","aegopodium","agrimonia","alliaria","allium","anacamptis","anemone","angelica","anthriscus","anthyllis","arctium","artemisia","ajuga","barbarea","bellis","bunias","capsella","cardamine","calystegia","campanula","carex","centaurea","cerastium","chenopodium","cirsium","clinopodium","convolvulus","conyza","coronilla","cornus","corydalis","crataegus","crepis","daucus","dianthus","dipsacus","echium","euonymus","erigeron","erucastrum","epilobium","eupatorium","euphorbia","equisetum","eschscholzia","filipendula","fragaria","frangula","fraxinus","galeopsis","galium","geranium","geum","glechoma","globularia","heracleum","helianthemum","hippocrepis","hypericum","hypochaeris","impatiens","iris","jacobaea","knautia","lamium","lapsana","lathraea","lathyrus","leontodon","lepidium","leucanthemum","lonicera","lotus","ligustum","linaria","lysimachia","lythrum","malva","medicago","melilotus","mentha","muscari","myosotis","nasturtium","oenothera","onobrychis","orchis","origanum","ornihtogalum","papaver","pastinaca","persicaria","picris","pilosella","pimpinella","plantago","potentilla","primula","prunella","prunus","ranunculus","rapistrum","rhinanthus","rosa","rubus","rumex","sanguisorba","salix","salvia","saponaria","scabiosa","scilla","scrophularia","sedum","senecio","silene","solanum","sonchus","spinaea","stachy","taraxacum","thymus","torilis","tragopogon","trifolium","tussilago","valeriana","veronica","verbena","viburnum","vicia","sum genuses","comment4","temp","wind","cloud","shade","distwater","timestart","timestop","comment2","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bbunID","xylocopa","fieldIDsum","sitebareground","sitevegcover","sitevegheight","siteherb","sitewoody","sitesand","sitegravel","sitecobble","sitestone","sitesoil","siteflat","sitesloped","sitesteep","sitecanopy","sitepatchiness","sitecornis","sitecomment","siteacer","sitecornus","sitecrataegus","siteeuonymus","sitefrangula","sitefraxinus","ligustrum","sitelonicera","siteprunus","siterosa","sitesalix","sitesambucus","siteviburnum"
1,"control","Aire",2492581,1116284,380,"GE","26.03.2025",1,"C.AI.GE.1.1","G. Egloff","Bernex",20,80,50,40,60,0,0,0,0,NA,100,25,75,0,50,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15.6,3,80,80,0,0.580555555555556,0.595833333333333,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
2,"control","Aire",2492597,1116311,380,"GE","26.03.2025",1,"C.AI.GE.1.2","G. Egloff","Bernex",0,100,30,95,5,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,15.6,4,80,0,0,0.558333333333333,0.572222222222222,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
3,"control","Aire",2492610,1116333,380,"GE","26.03.2025",1,"C.AI.GE.1.3","G. Egloff","Bernex",0,100,30,80,20,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,12.7,3,30,40,0,0.451388888888889,0.470138888888889,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
4,"control","Aire",2492622,1116353,380,"GE","26.03.2025",1,"C.AI.GE.1.4","G. Egloff","Bernex",5,95,20,100,0,0,0,0,0,NA,100,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,10.7,2,30,0,0,0.422916666666667,0.438888888888889,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
5,"control","Aire",2492634,1116373,380,"GE","26.03.2025",1,"C.AI.GE.1.5","G. Egloff","Bernex",20,80,30,80,20,50,0,0,0,NA,50,25,75,0,10,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,14,2,40,10,0,0.481944444444444,0.504166666666667,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
6,"control","Aire",2492646,1116394,380,"GE","26.03.2025",1,"C.AI.GE.1.6","G. Egloff","Bernex",0,100,20,100,0,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,14.6,3,80,60,0,0.663194444444444,0.677083333333333,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
7,"control","Aire",2492656,1116411,380,"GE","26.03.2025",1,"C.AI.GE.1.7","G. Egloff","Bernex",5,95,25,100,0,0,0,0,0,NA,100,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,15.1,4,40,0,0,0.53125,0.546527777777778,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
8,"control","Aire",2492668,1116432,380,"GE","26.03.2025",1,"C.AI.GE.1.8","G. Egloff","Bernex",0,100,25,99,1,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,15.2,3,60,0,0,0.623611111111111,0.6375,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5,95,30,90,10,10,2,2,0,86,25,75,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
1,"focal","Aire",2495403,1113774,402,"GE","31.03.2025",1,"F.AI.GE.1.1","G. Egloff","Confignon",1,99,15,95,5,100,0,0,0,NA,0,98,0,2,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14.8,4,0,40,50,0.654861111111111,0.670833333333333,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,10,90,15,80,20,80,0,5,0,15,85,5,10,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA
2,"focal","Aire",2495429,1113779,402,"GE","31.03.2025",1,"F.AI.GE.1.2","G. Egloff","Confignon",5,95,20,90,10,50,0,0,0,NA,50,85,10,5,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,13.6,2,0,5,100,0.588194444444444,0.608333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,10,90,15,80,20,80,0,5,0,15,85,5,10,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA
