NUESP,ESP,RL_2022
59555,Aglaoapis tridentata,VU
59703,Amegilla albigena,VU
59712,Amegilla garrula,VU
59717,Amegilla quadrifasciata,RE
59830,Amegilla salviae,RE
59700,Ammobates punctatus,CR
59100,Andrena aeneiventris,VU
59238,Andrena afrensis,VU
59179,Andrena afzeliella,LC
59101,Andrena agilissima,EN
59102,Andrena alfkenella,NT
59103,Andrena allosa,LC
59235,Andrena alutacea,LC
59113,Andrena amieti,LC
59240,Andrena ampla,LC
59106,Andrena apicata,LC
59107,Andrena argentata,CR
59108,Andrena assimilis,RE
59230,Andrena barbareae,LC
59109,Andrena barbilabris,NT
59110,Andrena bicolor,LC
59111,Andrena bimaculata,VU
59112,Andrena bucephala,LC
59114,Andrena chrysopus,EN
59116,Andrena chrysosceles,LC
59117,Andrena cineraria,LC
59118,Andrena clarkella,LC
59119,Andrena coitana,LC
59120,Andrena combinata,NT
59154,Andrena confinis,VU
59121,Andrena congruens,NT
59122,Andrena curvungula,NT
59123,Andrena decipiens,RE
59124,Andrena denticulata,VU
59125,Andrena distinguenda,CR
59126,Andrena dorsata,LC
59129,Andrena falsifica,LC
59130,Andrena ferox,VU
59244,Andrena flavilabris,RE
59131,Andrena flavipes,LC
59132,Andrena florea,NT
59133,Andrena floricola,EN
59134,Andrena florivaga,LC
59204,Andrena freygessneri,NT
59135,Andrena fucata,LC
59136,Andrena fulva,LC
59137,Andrena fulvago,LC
59138,Andrena fulvata,LC
59242,Andrena fulvicornis,VU
59139,Andrena fulvida,VU
59140,Andrena fuscipes,EN
59141,Andrena fuscosa,RE
59142,Andrena gelriae,VU
59144,Andrena gravida,LC
59145,Andrena haemorrhoa,LC
59146,Andrena hattorfiana,NT
59147,Andrena helvola,LC
59148,Andrena hesperia,VU
59149,Andrena humilis,LC
59150,Andrena hypopolia,RE
59152,Andrena incisa,RE
59153,Andrena intermedia,LC
59155,Andrena labialis,LC
59156,Andrena labiata,LC
59157,Andrena lagopus,LC
59158,Andrena lapponica,LC
59159,Andrena lathyri,LC
59160,Andrena lepida,RE
59161,Andrena limata,VU
59232,Andrena livens,RE
59162,Andrena marginata,EN
59163,Andrena minutula,LC
59164,Andrena minutuloides,LC
59165,Andrena mitis,NT
59166,Andrena montana,LC
59233,Andrena mucida,RE
59168,Andrena nana,VU
59169,Andrena nanula,EN
59172,Andrena nigroaenea,LC
59173,Andrena nigroolivacea,LC
59949,Andrena nigrospina,RE
59174,Andrena nitida,LC
59175,Andrena nitidiuscula,VU
59176,Andrena niveata,EN
59177,Andrena nuptialis,VU
59178,Andrena nycthemera,RE
59245,Andrena ovata,NE
59180,Andrena pallitarsis,EN
59181,Andrena pandellei,VU
59182,Andrena parviceps,VU
59951,Andrena pauxilla,RE
59241,Andrena pellucens,DD
59234,Andrena pilipes,EN
59184,Andrena polita,VU
59185,Andrena potentillae,EN
59186,Andrena praecox,LC
59187,Andrena probata,EN
59188,Andrena propinqua,VU
59189,Andrena proxima,LC
59190,Andrena pusilla,VU
59191,Andrena ranunculorum,EN
59193,Andrena rhenana,EN
59194,Andrena rogenhoferi,LC
59195,Andrena rosae,LC
59196,Andrena ruficrus,LC
59197,Andrena rufizona,VU
59198,Andrena rufula,LC
59199,Andrena rugulosa,EN
59203,Andrena russula,VU
59447,Andrena saxonica,EN
59201,Andrena schencki,VU
59231,Andrena scotica,LC
59200,Andrena semilaevis,LC
59202,Andrena sericata,RE
59205,Andrena simillima,EN
59237,Andrena simontornyella,NT
59206,Andrena strohmella,LC
59207,Andrena subopaca,LC
59208,Andrena suerinensis,EN
59209,Andrena symphyti,EN
59210,Andrena synadelpha,VU
59211,Andrena taraxaci,NT
59212,Andrena tarsata,NT
59243,Andrena tenuistriata,NE
59213,Andrena thoracica,VU
59214,Andrena tibialis,LC
59236,Andrena tridentata,RE
59215,Andrena trimmerana,LC
59216,Andrena tscheki,RE
59217,Andrena vaga,LC
59218,Andrena varians,EN
59219,Andrena ventralis,LC
59220,Andrena viridescens,LC
59221,Andrena vulpecula,EN
59222,Andrena wilkella,LC
59532,Anthidiellum strigatum,LC
59521,Anthidium cingulatum,RE
59650,Anthidium florentinum,LC
59525,Anthidium loti,DD
59526,Anthidium manicatum,LC
59527,Anthidium montanum,LC
59528,Anthidium oblongatum,LC
59529,Anthidium punctatum,LC
59531,Anthidium septemspinosum,VU
59702,Anthophora aestivalis,LC
59704,Anthophora balneorum,EN
59706,Anthophora bimaculata,CR
59714,Anthophora canescens,RE
59708,Anthophora crassipes,EN
59709,Anthophora crinipes,NT
59701,Anthophora dispar,NE
59710,Anthophora fulvitarsis,RE
59711,Anthophora furcata,LC
59713,Anthophora mucida,VU
59715,Anthophora plagiata,EN
59826,Anthophora plumipes,LC
59716,Anthophora pubescens,EN
59718,Anthophora quadrimaculata,NT
59719,Anthophora retusa,VU
59900,Apis mellifera,NE
59721,Biastes emarginatus,EN
59722,Biastes truncatus,VU
59901,Bombus alpinus,NT
59902,Bombus argillaceus,VU
59937,Bombus barbutellus,LC
59938,Bombus bohemicus,LC
59939,Bombus campestris,LC
59904,Bombus confusus,RE
59905,Bombus cryptarum,LC
59907,Bombus distinguendus,CR
59940,Bombus flavidus,NT
59908,Bombus gerstaeckeri,LC
59909,Bombus hortorum,LC
59910,Bombus humilis,LC
59911,Bombus hypnorum,LC
59912,Bombus inexspectatus,NT
59913,Bombus jonellus,LC
59915,Bombus lapidarius,LC
59917,Bombus lucorum,LC
59947,Bombus magnus,RE
59918,Bombus mendax,LC
59919,Bombus mesomelas,LC
59920,Bombus monticola,LC
59921,Bombus mucidus,LC
59922,Bombus muscorum,CR
59942,Bombus norvegicus,LC
59923,Bombus pascuorum,LC
59925,Bombus pomorum,RE
59926,Bombus pratorum,LC
59927,Bombus pyrenaeus,LC
59943,Bombus quadricolor,LC
59928,Bombus ruderarius,LC
59929,Bombus ruderatus,LC
59944,Bombus rupestris,LC
59930,Bombus sichelii,LC
59931,Bombus soroeensis,LC
59932,Bombus subterraneus,NT
59933,Bombus sylvarum,LC
59945,Bombus sylvestris,LC
59934,Bombus terrestris,LC
59946,Bombus vestalis,LC
59935,Bombus veteranus,EN
59936,Bombus wurflenii,LC
59831,Ceratina chalcites,VU
59825,Ceratina chalybea,LC
59724,Ceratina cucurbitina,LC
59725,Ceratina cyanea,LC
59833,Ceratina gravidula,LC
59832,Ceratina nigrolabiata,NE
59533,Chelostoma campanularum,LC
59534,Chelostoma distinctum,LC
59535,Chelostoma emarginatum,CR
59536,Chelostoma florisomne,LC
59537,Chelostoma foveolatum,NT
59539,Chelostoma grande,VU
59538,Chelostoma rapunculi,LC
59540,Coelioxys afra,LC
59541,Coelioxys alata,EN
59542,Coelioxys aurolimbata,NT
59551,Coelioxys conica,LC
59544,Coelioxys conoidea,VU
59553,Coelioxys echinata,NT
59545,Coelioxys elongata,LC
59546,Coelioxys emarginata,RE
59547,Coelioxys inermis,LC
59548,Coelioxys lanceolata,NT
59549,Coelioxys mandibularis,LC
59552,Coelioxys rufescens,LC
59000,Colletes collaris,RE
59001,Colletes cunicularius,LC
59002,Colletes daviesanus,NT
59003,Colletes floralis,VU
59004,Colletes fodiens,EN
59005,Colletes gallicus,RE
59007,Colletes hederae,LC
59009,Colletes impunctatus,LC
59011,Colletes marginatus,EN
59012,Colletes mlokossewiczi,EN
59014,Colletes nigricans,VU
59015,Colletes sierrensis,EN
59016,Colletes similis,LC
59017,Colletes succinctus,VU
59500,Dasypoda argentata,CR
59501,Dasypoda hirtipes,VU
59554,Dioxys cincta,EN
59300,Dufourea alpina,LC
59301,Dufourea dentiventris,LC
59302,Dufourea halictula,EN
59303,Dufourea inermis,EN
59304,Dufourea minuta,VU
59305,Dufourea paradoxa,LC
59726,Epeoloides coecutiens,LC
59727,Epeolus alpinus,LC
59728,Epeolus cruciger,LC
59846,Epeolus fallax,NE
59735,Epeolus productulus,CR
59731,Epeolus variegatus,LC
59733,Eucera interrupta,VU
59734,Eucera longicornis,LC
59828,Eucera nigrescens,LC
59841,Eucera nigrifacies,NE
59837,Eucera pollinosa,DD
59306,Halictus carinthiacus,VU
59445,Halictus confusus,NT
59310,Halictus eurygnathus,NT
59950,Halictus fulvipes,RE
59312,Halictus kessleri,RE
59313,Halictus langobardicus,LC
59314,Halictus leucaheneus,EN
59315,Halictus maculatus,LC
59316,Halictus quadricinctus,VU
59317,Halictus rubicundus,LC
59318,Halictus scabiosae,LC
59319,Halictus seladonius,EN
59320,Halictus sexcinctus,NT
59321,Halictus simplex,LC
59323,Halictus subauratus,LC
59450,Halictus submediterraneus,VU
59324,Halictus tectus,RE
59325,Halictus tumulorum,LC
59556,Heriades crenulatus,NT
59655,Heriades rubicola,DD
59558,Heriades truncorum,LC
59584,Hoplitis acuticornis,CR
59585,Hoplitis adunca,LC
59589,Hoplitis anthocopoides,VU
59596,Hoplitis claviventris,LC
59598,Hoplitis dalmatica,EN
59606,Hoplitis lepeletieri,LC
59607,Hoplitis leucomelana,LC
59609,Hoplitis loti,LC
59612,Hoplitis mitis,NT
59616,Hoplitis papaveris,RE
59656,Hoplitis praestans,CR
59619,Hoplitis ravouxi,VU
59620,Hoplitis robusta,LC
59613,Hoplitis stecki,RE
59627,Hoplitis tridentata,VU
59628,Hoplitis tuberculata,LC
59631,Hoplitis villosa,LC
59018,Hylaeus alpinus,LC
59019,Hylaeus angustatus,NT
59021,Hylaeus annulatus,LC
59022,Hylaeus bifasciatus,RE
59023,Hylaeus brevicornis,LC
59062,Hylaeus cardioscapus,VU
59024,Hylaeus clypearis,LC
59025,Hylaeus communis,LC
59026,Hylaeus confusus,LC
59027,Hylaeus cornutus,LC
59028,Hylaeus crassanus,CR
59029,Hylaeus difformis,LC
59020,Hylaeus dilatatus,LC
59030,Hylaeus duckei,VU
59031,Hylaeus euryscapus,RE
59032,Hylaeus gibbus,LC
59033,Hylaeus glacialis,VU
59035,Hylaeus gredleri,LC
59036,Hylaeus hyalinatus,LC
59061,Hylaeus incongruus,LC
59059,Hylaeus intermedius,LC
59037,Hylaeus kahri,LC
59039,Hylaeus leptocephalus,LC
59042,Hylaeus moricei,EN
59043,Hylaeus nigritus,LC
59044,Hylaeus nivalis,LC
59038,Hylaeus paulus,LC
59045,Hylaeus pectoralis,EN
59046,Hylaeus pfankuchi,VU
59047,Hylaeus pictipes,LC
59048,Hylaeus pilosulus,CR
